"numcode","ethgrpname","ccode","country","year","gpop","grpropctry","grplang","grpcustom","grpspatialdist","urbanrural","regbase","regbaseprop","trsntlkin","trnspwrkin","sepkin","emig","displace","poldisc","ecdisc","langdisc","adminauto","legisrep","execrep","govrep","polgrieve","econgrieve","culgrieve","kinsup","kinmatsup","kinpolsup","kinmilsup","intracon","protest","region","pct_ctry","miss"
82004,"Kadazans",820,"Malaysia",2004,447167,0.019,1,1,3,4,1,3,0,0,0,0,0,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1.89999997615814,0
82004,"Kadazans",820,"Malaysia",2005,455356,0.019,1,1,3,4,1,3,0,0,0,0,0,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1.89999997615814,0
82004,"Kadazans",820,"Malaysia",2006,463585,0.019,1,1,3,4,1,3,0,0,0,0,0,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1.89999997615814,0
83001,"Malays",830,"Singapore",2004,609545,0.14,1,1,0,5,0,0,1,3,0,0,0,3,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,14,0
83001,"Malays",830,"Singapore",2005,619601,0.14,1,1,0,5,0,0,1,3,0,0,0,3,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,14,0
83001,"Malays",830,"Singapore",2006,628901,0.14,1,1,0,5,0,0,1,3,0,0,0,3,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,14,0
84002,"Igorots",840,"Philippines",2004,1772436,0.02,1,1,3,1,1,3,0,0,0,1,0,1,1,0,0,1,0,0,3,2,0,1,1,0,0,1,3,1,2,0
84002,"Igorots",840,"Philippines",2005,1808716,0.02,1,1,3,1,1,3,0,0,0,1,0,1,1,0,0,1,0,0,3,2,0,1,1,0,0,1,0,1,2,0
84002,"Igorots",840,"Philippines",2006,1845339,0.02,1,1,3,1,1,3,0,0,0,1,0,1,1,0,0,1,0,0,3,2,0,0,0,0,0,1,0,1,2,0
84003,"Moros",840,"Philippines",2004,4431089,0.05,1,1,3,1,1,3,0,0,0,0,1,1,1,0,1,1,0,0,4,2,1,0,0,0,0,1,3,1,5,0
84003,"Moros",840,"Philippines",2005,4521789,0.05,1,1,3,1,1,3,0,0,0,0,1,1,1,0,1,1,0,0,4,2,1,0,0,0,0,1,3,1,5,0
84003,"Moros",840,"Philippines",2006,4613347,0.05,1,1,3,1,1,3,0,0,0,0,1,1,1,0,1,1,0,0,4,2,1,0,0,0,0,1,1,1,5,0
85003,"Chinese",850,"Indonesia",2004,6780124,0.03,1,1,1,4,0,0,1,3,0,0,0,4,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,3,0
85003,"Chinese",850,"Indonesia",2005,6866872,0.03,1,1,1,4,0,0,1,3,0,0,0,4,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,3,0
85003,"Chinese",850,"Indonesia",2006,6954607,0.03,1,1,1,4,0,0,1,3,0,0,0,4,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,3,0
85005,"Papuans",850,"Indonesia",2004,1152621,0.0051,1,1,3,2,1,3,2,3,0,1,2,1,4,0,1,0,0,0,4,2,1,0,0,0,0,1,3,1,0.509999990463257,0
85005,"Papuans",850,"Indonesia",2005,1167368,0.0051,1,1,3,2,1,3,2,3,0,1,1,1,1,0,1,0,0,0,4,2,1,0,0,0,0,0,4,1,0.509999990463257,0
85005,"Papuans",850,"Indonesia",2006,1182283,0.0051,1,1,3,2,1,3,2,3,0,1,1,1,1,0,1,0,0,0,4,2,1,0,0,0,0,1,3,1,0.509999990463257,0
85006,"Acehnese",850,"Indonesia",2004,2576447,0.0114,1,1,3,2,1,3,2,1,0,1,1,1,1,0,0,0,1,0,4,2,1,0,0,0,0,1,3,1,1.13999998569489,0
85006,"Acehnese",850,"Indonesia",2005,2609412,0.0114,1,1,3,2,1,3,2,1,0,1,2,1,1,0,0,0,1,0,4,2,1,0,0,0,0,1,3,1,1.13999998569489,0
85006,"Acehnese",850,"Indonesia",2006,2642751,0.0114,1,1,3,2,1,3,2,1,0,0,1,1,1,0,1,0,1,0,3,2,0,0,0,0,0,0,5,1,1.13999998569489,0
90001,"Aborigines",900,"Australia",2004,499877,0.025,1,1,2,2,0,0,1,2,1,0,0,1,1,0,0,1,1,0,3,2,0,0,0,0,0,0,0,6,2.5,0
90001,"Aborigines",900,"Australia",2005,505809,0.025,1,1,2,2,0,0,1,2,1,0,0,1,1,0,0,1,1,0,3,2,0,0,0,0,0,0,3,6,2.5,0
90001,"Aborigines",900,"Australia",2006,512237,0.025,1,1,2,2,0,0,1,2,1,0,0,1,1,0,0,0,1,0,3,2,0,0,0,0,0,0,3,6,2.5,0
91001,"Bouganvilleans",910,"Papua New Guinea",2004,173731,0.032,1,1,3,1,1,3,2,3,0,0,0,1,1,0,1,1,0,1,4,2,0,0,0,0,0,0,0,1,3.20000004768372,0
91001,"Bouganvilleans",910,"Papua New Guinea",2005,177744,0.032,1,1,3,1,1,3,2,3,0,0,0,1,1,0,1,1,0,1,4,2,0,0,0,0,0,1,3,1,3.20000004768372,0
91001,"Bouganvilleans",910,"Papua New Guinea",2006,181767,0.032,1,1,3,1,1,3,2,3,0,0,0,1,1,0,1,1,0,1,4,2,0,0,0,0,0,1,0,1,3.20000004768372,0
92001,"Maori",920,"New Zealand",2004,601225,0.15,1,0,1,5,0,0,0,0,0,1,0,1,2,0,0,1,1,1,3,2,2,0,0,0,0,0,4,6,15,0
92001,"Maori",920,"New Zealand",2005,607234,0.15,1,0,1,5,0,0,0,0,0,1,0,1,2,0,0,1,1,1,3,2,2,0,0,0,0,0,3,6,15,0
92001,"Maori",920,"New Zealand",2006,613495,0.15,1,0,1,5,0,0,0,0,0,1,0,1,2,0,0,1,1,1,3,2,2,0,0,0,0,0,3,6,15,0
95001,"East Indians",950,"Fiji",2004,387694,0.44,2,1,0,3,0,0,0,3,0,1,1,3,3,0,0,1,0,1,2,2,0,0,0,0,0,0,3,1,44,0
95001,"East Indians",950,"Fiji",2005,393178,0.44,2,1,0,3,0,0,0,3,0,1,1,3,3,0,0,1,1,1,2,2,0,0,0,0,0,0,3,1,44,0
95001,"East Indians",950,"Fiji",2006,398712,0.44,2,1,0,3,0,0,0,3,0,1,1,3,3,0,0,1,1,1,2,2,0,0,0,0,0,0,3,1,44,0
95002,"Fijians",950,"Fiji",2004,449373,0.51,1,0,0,3,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,51,0
95002,"Fijians",950,"Fiji",2005,455729,0.51,1,0,0,3,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,51,0
95002,"Fijians",950,"Fiji",2006,462143,0.51,1,0,0,3,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,51,0
